year,population
1,159
2,162
3,164
4,167
5,170
6,173
7,176
8,179
9,182
10,185
11,188
12,190
13,193
14,196
15,198
16,200
17,202
18,204
19,206
20,208
21,210
22,212
23,214
24,216
25,218
26,220
27,222
28,224
29,226
30,228
31,230
32,232
33,234
34,237
35,239
36,241
37,243
38,246
39,248
40,250
41,253
42,255
43,258
44,260
45,263
46,266
47,270
48,273
49,276
50,280
51,283
52,285
53,288
54,291
55,293
56,296
57,299
58,302
59,304
60,307
61,310
62,312
63,315
64,317
65,319
66,321
67,324
68,326
69,328
70,330
71,332
72,335
73,247
